"","Country.Name","Country.Code","Year","value.Internet users (per 100 people)","value.GDP at market prices (constant 2010 US$)","value.PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)"
"244","Saudi Arabia","SAU","2013","60.5","626766133333.334","54.1150999376812"
"247","Egypt, Arab Rep.","EGY","2013","29.4","232552285851.12","36.4050039327036"
"250","Estonia","EST","2013","79.4","22405761589.404","9.09401405340706"
"253","China","CHN","2013","45.8","7672447738017.42","54.3561520598887"
"256","Canada","CAN","2014","87.12","1773485821199.77",""
"259","Saudi Arabia","SAU","2014","64.713657369019","649572533333.334",""
"262","Egypt, Arab Rep.","EGY","2014","33.8946039115275","237735390300.773",""
"265","Estonia","EST","2014","84.24","23056993377.4834",""
"268","China","CHN","2014","47.9","8230120617793.52",""
"271","Canada","CAN","2015","88.47","1792608764608.81",""
"274","Saudi Arabia","SAU","2015","69.6162358014004","672214400000",""
"277","Egypt, Arab Rep.","EGY","2015","35.9","247720276693.405",""
"280","Estonia","EST","2015","88.4066","23303205298.0132",""
"283","China","CHN","2015","50.3","8797998940421.28",""
"286","Canada","CAN","2016","","",""
"289","Saudi Arabia","SAU","2016","","",""
"292","Egypt, Arab Rep.","EGY","2016","","",""
"295","Estonia","EST","2016","","",""
"298","China","CHN","2016","","",""
